1.a3 e5 2.c4 Nf6 3.Nc3 d5 4.cxd5 Nxd5 
1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3 Bb4 
1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.e5 d5 
1.e4 e5 2.f4 exf4 3.Bc4 Qh4 4.Kf1 Bc5 
1.e4 e5 2.f4 exf4 3.Bc4 Qh4 4.Kf1 b5 
1.e4 e5 2.f4 exf4 3.Bc4 Qh4 4.Kf1 g5 
1.e4 e5 2.f4 exf4 3.Bc4 d5 4.Bxd5 Nf6 
1.e4 e5 2.f4 exf4 3.Nf3 Be7 4.Bc4 Bh4 
1.e4 e5 2.f4 exf4 3.Nf3 c6 4.Nc3 Bb4 
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Qe7 
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 d6 
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 
1.e4 e5 2.h3 d5 3.exd5 Bc5 4.Bc4 c6 
1.e4 e6 2.d4 c6 3.Bd3 d5 4.exd5 exd5 
1.e4 e6 2.d4 d5 3.e5 c5 4.c3 Nc6 
1.e4 e6 2.d4 d5 3.exd5 exd5 4.Nf3 Bd6 
1.e4 e6 2.d4 d5 3.exd5 exd5 4.Nf3 Be6 
1.e4 e6 2.d4 d5 3.exd5 exd5 4.Nf3 Nf6 
1.e4 e6 2.d4 g6 3.Bd3 Bg7 4.Be3 Ne7 
1.e4 e6 2.d4 g6 3.Bd3 Bg7 4.Be3 c5 
1.e4 f6 2.d4 e6 3.Bd3 Ne7 4.Be3 d5 
1.e4 h6 2.d4 a5 3.Bd3 b6 4.Ne2 e6 
