1.Nc3 Nf6 2.e4 e5 3.f4 d5 4.fxe5 Nxe4 
1.Nf3 Nf6 2.c4 c5 3.g3 d5 4.d4 dxc4 
1.Nf3 Nf6 2.c4 c5 3.g3 e6 4.Bg2 Be7 
1.Nf3 Nf6 2.c4 c5 3.g3 g6 4.Bg2 Bg7 
1.Nf3 Nf6 2.c4 c6 3.Nc3 d5 4.cxd5 cxd5 
1.Nf3 Nf6 2.c4 c6 3.Nc3 d5 4.d4 a6 
1.Nf3 Nf6 2.c4 c6 3.Nc3 d5 4.d4 dxc4 
1.Nf3 Nf6 2.c4 c6 3.Nc3 d5 4.d4 e6 
1.Nf3 Nf6 2.c4 c6 3.Nc3 d5 4.e3 e6 
1.Nf3 Nf6 2.c4 c6 3.d4 d5 4.Nc3 dxc4 
1.Nf3 Nf6 2.c4 c6 3.d4 d5 4.e3 Bf5 
1.Nf3 Nf6 2.c4 c6 3.d4 d5 4.e3 a6 
1.Nf3 Nf6 2.c4 d5 3.Nc3 e6 4.d4 dxc4 
1.Nf3 Nf6 2.c4 d6 3.d4 g6 4.Nc3 Bg7 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 Nc6 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 c5 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 O-O 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.d4 c5 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.g3 O-O 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.g3 b6 
1.Nf3 Nf6 2.c4 e6 3.Nc3 Bb4 4.g3 c5 
1.Nf3 Nf6 2.c4 e6 3.Nc3 b6 4.g3 c5 
1.Nf3 Nf6 2.c4 e6 3.Nc3 c5 4.g3 Nc6 
1.Nf3 Nf6 2.c4 e6 3.Nc3 c5 4.g3 b6 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.d4 Bb4 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.d4 Be7 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.d4 Nbd7 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.d4 c5 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.d4 c6 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.d4 dxc4 
1.Nf3 Nf6 2.c4 e6 3.Nc3 d5 4.e3 a6 
1.Nf3 Nf6 2.c4 e6 3.b3 b6 4.Bb2 Bb7 
1.Nf3 Nf6 2.c4 e6 3.d4 Nc6 4.a3 d5 
1.Nf3 Nf6 2.c4 e6 3.d4 b6 4.a3 Bb7 
1.Nf3 Nf6 2.c4 e6 3.d4 d5 4.Nc3 Be7 
1.Nf3 Nf6 2.c4 e6 3.d4 d5 4.Nc3 c6 
1.Nf3 Nf6 2.c4 e6 3.d4 d5 4.e3 Be7 
1.Nf3 Nf6 2.c4 e6 3.e3 b6 4.d4 Bb7 
1.Nf3 Nf6 2.c4 e6 3.g3 a6 4.Nc3 d5 
1.Nf3 Nf6 2.c4 e6 3.g3 b6 4.Bg2 Bb7 
1.Nf3 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 
1.Nf3 Nf6 2.c4 e6 3.g3 d5 4.b3 Be7 
1.Nf3 Nf6 2.c4 e6 3.g3 d5 4.d4 Bb4 
1.Nf3 Nf6 2.c4 e6 3.g3 d5 4.d4 Be7 
1.Nf3 Nf6 2.c4 e6 3.g3 d5 4.d4 dxc4 
1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.d4 O-O 
1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.d4 d6 
1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 O-O 
1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 
1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.g3 O-O 
1.Nf3 Nf6 2.c4 g6 3.Nc3 Bg7 4.g3 c6 
1.Nf3 Nf6 2.c4 g6 3.Nc3 d5 4.Qa4 Bd7 
1.Nf3 Nf6 2.c4 g6 3.Nc3 d5 4.Qa4 Nc6 
1.Nf3 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 
1.Nf3 Nf6 2.c4 g6 3.Nc3 d5 4.d4 Bg7 
1.Nf3 Nf6 2.c4 g6 3.b3 Bg7 4.Bb2 O-O 
1.Nf3 Nf6 2.c4 g6 3.g3 Bg7 4.Bg2 O-O 
1.Nf3 Nf6 2.c4 g6 3.g3 Bg7 4.Nc3 O-O 
1.Nf3 Nf6 2.d4 d5 3.c4 e6 4.Nc3 Nbd7 
1.Nf3 Nf6 2.d4 d5 3.e3 e6 4.Bd3 Bd6 
1.Nf3 Nf6 2.d4 e6 3.c4 Bb4 4.Bd2 c5 
1.Nf3 Nf6 2.d4 e6 3.c4 b6 4.Nc3 Bb7 
1.Nf3 Nf6 2.d4 e6 3.c4 b6 4.a3 Bb7 
1.Nf3 Nf6 2.d4 e6 3.e3 d5 4.Bd3 b6 
1.Nf3 Nf6 2.d4 g6 3.Bf4 Bg7 4.c3 O-O 
1.Nf3 Nf6 2.d4 g6 3.c4 d6 4.Nc3 Nbd7 
1.Nf3 Nf6 2.d4 g6 3.g3 Bg7 4.Bg2 O-O 
1.Nf3 Nf6 2.g3 b5 3.Bg2 Bb7 4.O-O c5 
1.Nf3 Nf6 2.g3 b5 3.d4 e6 4.Bg5 Bb7 
1.Nf3 Nf6 2.g3 b5 3.e3 a6 4.b3 Bb7 
1.Nf3 Nf6 2.g3 b6 3.Bg2 Bb7 4.O-O c5 
1.Nf3 Nf6 2.g3 b6 3.Bg2 Bb7 4.O-O e6 
1.Nf3 Nf6 2.g3 b6 3.Bg2 Bb7 4.c4 g6 
1.Nf3 Nf6 2.g3 c5 3.Bg2 Nc6 4.O-O e5 
1.Nf3 Nf6 2.g3 c5 3.Bg2 g6 4.c4 Bg7 
1.Nf3 Nf6 2.g3 c5 3.Bg2 g6 4.d4 cxd4 
1.Nf3 Nf6 2.g3 d5 3.Bg2 Bg4 4.c4 e6 
1.Nf3 Nf6 2.g3 d5 3.Bg2 c5 4.O-O Nc6 
1.Nf3 Nf6 2.g3 d5 3.Bg2 c6 4.O-O Bg4 
1.Nf3 Nf6 2.g3 d5 3.Bg2 c6 4.d3 Bf5 
1.Nf3 Nf6 2.g3 d5 3.Bg2 c6 4.d3 Bg4 
1.Nf3 Nf6 2.g3 d5 3.Bg2 e6 4.O-O Be7 
1.Nf3 Nf6 2.g3 d5 3.Bg2 g6 4.O-O Bg7 
1.Nf3 Nf6 2.g3 d5 3.Bg2 g6 4.b3 Bg7 
1.Nf3 Nf6 2.g3 e6 3.Bg2 d5 4.O-O Be7 
1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O O-O 
1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.c4 O-O 
1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.c4 c6 
1.Nf3 Nf6 2.g3 g6 3.b3 Bg7 4.Bb2 O-O 
1.Nf3 Nf6 2.g3 g6 3.b3 Bg7 4.Bb2 c5 
1.Nf3 Nf6 2.g3 g6 3.b3 Bg7 4.Bb2 d6 
1.Nf3 Nf6 2.g3 g6 3.b3 c5 4.Bb2 Bg7 
1.Nf3 Nf6 2.g3 g6 3.b4 Bg7 4.Bb2 b6 
1.Nf3 Nf6 2.g3 g6 3.b4 e6 4.a3 b6 
1.Nf3 b5 2.e4 Bb7 3.Bxb5 Bxe4 4.O-O Nf6 
1.Nf3 b6 2.e4 Bb7 3.Nc3 e6 4.d4 Bb4 
1.Nf3 b6 2.e4 Bb7 3.Nc3 e6 4.d4 g6 
1.Nf3 b6 2.g3 Bb7 3.Bg2 g6 4.d4 Bg7 
1.Nf3 c5 2.b3 d5 3.e3 Nf6 4.Bb2 e6 
1.Nf3 c5 2.b3 d5 3.e3 Nf6 4.Bb2 g6 
1.Nf3 c5 2.b3 d6 3.c4 Nc6 4.Bb2 e5 
1.Nf3 c5 2.b3 d6 3.c4 g6 4.Bb2 e5 
1.Nf3 c5 2.b3 d6 3.e3 e5 4.Bb2 f5 
1.Nf3 c5 2.b3 d6 3.e3 e5 4.Bb5 Nd7 
1.Nf3 c5 2.c4 Nc6 3.Nc3 Nd4 4.e3 Nxf3 
1.Nf3 c5 2.c4 Nc6 3.Nc3 Nd4 4.g3 Nxf3 
1.Nf3 c5 2.c4 Nc6 3.Nc3 Nf6 4.g3 d5 
1.Nf3 c5 2.c4 Nc6 3.Nc3 e5 4.e3 Nf6 
1.Nf3 c5 2.c4 Nc6 3.Nc3 e5 4.g3 g6 
1.Nf3 c5 2.c4 Nc6 3.Nc3 g6 4.e3 Bg7 
1.Nf3 c5 2.c4 Nc6 3.d4 cxd4 4.Nxd4 Nf6 
1.Nf3 c5 2.c4 Nc6 3.d4 cxd4 4.Nxd4 e6 
1.Nf3 c5 2.c4 Nc6 3.e3 Nf6 4.Nc3 g6 
1.Nf3 c5 2.c4 Nf6 3.Nc3 Nc6 4.d4 cxd4 
1.Nf3 c5 2.c4 Nf6 3.Nc3 Nc6 4.e3 d5 
1.Nf3 c5 2.c4 Nf6 3.Nc3 Nc6 4.g3 d5 
1.Nf3 c5 2.c4 Nf6 3.Nc3 d5 4.cxd5 Nxd5 
1.Nf3 c5 2.c4 Nf6 3.Nc3 d6 4.d4 cxd4 
1.Nf3 c5 2.c4 Nf6 3.Nc3 e6 4.e3 d5 
1.Nf3 c5 2.c4 Nf6 3.Nc3 e6 4.g3 b6 
1.Nf3 c5 2.c4 Nf6 3.Nc3 g6 4.e4 Nc6 
1.Nf3 c5 2.c4 Nf6 3.Nc3 g6 4.g3 Bg7 
1.Nf3 c5 2.c4 Nf6 3.b3 g6 4.Bb2 Bg7 
1.Nf3 c5 2.c4 Nf6 3.g3 d5 4.Bg2 Nc6 
1.Nf3 c5 2.c4 Nf6 3.g3 g6 4.Bg2 Bg7 
1.Nf3 c5 2.c4 b6 3.g3 Bb7 4.Bg2 g6 
1.Nf3 c5 2.c4 g6 3.d4 Bg7 4.e4 Qb6 
1.Nf3 c5 2.c4 g6 3.d4 Bg7 4.e4 d6 
1.Nf3 c5 2.c4 g6 3.d4 cxd4 4.Nxd4 Nc6 
1.Nf3 c5 2.c4 g6 3.e4 Bg7 4.d4 cxd4 
1.Nf3 c5 2.c4 g6 3.e4 Nc6 4.d4 cxd4 
1.Nf3 c5 2.e3 Nf6 3.d4 d5 4.Nbd2 e6 
1.Nf3 c5 2.e3 Nf6 3.d4 d5 4.c3 e6 
1.Nf3 c5 2.e3 Nf6 3.d4 g6 4.d5 Bg7 
1.Nf3 c5 2.e3 g6 3.d4 cxd4 4.exd4 d5 
1.Nf3 c5 2.e4 Nf6 3.Nc3 d5 4.exd5 Nxd5 
1.Nf3 c5 2.e4 d6 3.Bb5 Nd7 4.d4 Nf6 
1.Nf3 c5 2.g3 Nc6 3.Bg2 g6 4.O-O Bg7 
1.Nf3 c5 2.g3 Nc6 3.Bg2 g6 4.c3 Bg7 
1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 
1.Nf3 d5 2.b3 Bg4 3.Bb2 Nd7 4.e3 c6 
1.Nf3 d5 2.b3 c5 3.e3 Nf6 4.Bb2 e6 
1.Nf3 d5 2.c4 c6 3.d4 Nf6 4.Nc3 e6 
1.Nf3 d5 2.c4 c6 3.e3 Bg4 4.cxd5 cxd5 
1.Nf3 d5 2.c4 c6 3.e3 Nf6 4.Nc3 Nbd7 
1.Nf3 d5 2.c4 c6 3.e3 Nf6 4.Nc3 e6 
1.Nf3 d5 2.c4 d4 3.b4 c5 4.bxc5 Nc6 
1.Nf3 d5 2.c4 d4 3.b4 f6 4.e3 dxe3 
1.Nf3 d5 2.c4 d4 3.b4 f6 4.e3 e5 
1.Nf3 d5 2.c4 d4 3.e3 Nc6 4.exd4 Nxd4 
1.Nf3 d5 2.c4 d4 3.g3 Nc6 4.Bg2 e5 
1.Nf3 d5 2.c4 dxc4 3.e3 Nf6 4.Bxc4 e6 
1.Nf3 d5 2.c4 e6 3.b3 Be7 4.Bb2 Bf6 
1.Nf3 d5 2.c4 e6 3.b3 Nf6 4.Bb2 Be7 
1.Nf3 d5 2.c4 e6 3.b3 Nf6 4.g3 c5 
1.Nf3 d5 2.c4 e6 3.b3 b6 4.cxd5 exd5 
1.Nf3 d5 2.c4 e6 3.d4 Nf6 4.Nc3 Be7 
1.Nf3 d5 2.c4 e6 3.d4 Nf6 4.Nc3 c5 
1.Nf3 d5 2.c4 e6 3.e3 Nf6 4.b3 Be7 
1.Nf3 d5 2.c4 e6 3.g3 Nf6 4.Bg2 dxc4 
1.Nf3 d5 2.c4 e6 3.g3 dxc4 4.Qa4 Bd7 
1.Nf3 d5 2.c4 e6 3.g3 dxc4 4.Qa4 Nd7 
1.Nf3 d5 2.c4 e6 3.g3 dxc4 4.Qa4 c6 
1.Nf3 d5 2.d3 Nf6 3.g3 g6 4.Bg2 Bg7 
1.Nf3 d5 2.d3 g6 3.Nbd2 Bg7 4.e4 e5 
1.Nf3 d5 2.d4 Bf5 3.c4 e6 4.Nc3 Nc6 
1.Nf3 d5 2.d4 Bf5 3.c4 e6 4.Nc3 c6 
1.Nf3 d5 2.d4 Nf6 3.Bf4 c5 4.e3 Nc6 
1.Nf3 d5 2.d4 Nf6 3.c3 c5 4.e3 e6 
1.Nf3 d5 2.d4 Nf6 3.c3 c6 4.Bf4 g6 
1.Nf3 d5 2.d4 Nf6 3.c4 c6 4.Nc3 a6 
1.Nf3 d5 2.d4 Nf6 3.c4 c6 4.Nc3 dxc4 
1.Nf3 d5 2.d4 Nf6 3.c4 c6 4.Nc3 e6 
1.Nf3 d5 2.d4 Nf6 3.c4 c6 4.Qb3 e6 
1.Nf3 d5 2.d4 Nf6 3.c4 c6 4.cxd5 cxd5 
1.Nf3 d5 2.d4 Nf6 3.c4 c6 4.e3 e6 
1.Nf3 d5 2.d4 Nf6 3.c4 dxc4 4.Nc3 a6 
1.Nf3 d5 2.d4 Nf6 3.c4 dxc4 4.Nc3 c6 
1.Nf3 d5 2.d4 Nf6 3.c4 dxc4 4.e3 e6 
1.Nf3 d5 2.d4 Nf6 3.c4 dxc4 4.e3 g6 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.Nc3 Bb4 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.Nc3 Be7 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.Nc3 Nbd7 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.Nc3 c6 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.Nc3 dxc4 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.Nc3 h6 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.e3 Be7 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.g3 Be7 
1.Nf3 d5 2.d4 Nf6 3.c4 e6 4.g3 dxc4 
1.Nf3 d5 2.d4 Nf6 3.c4 g6 4.cxd5 Nxd5 
1.Nf3 d5 2.d4 Nf6 3.e3 e6 4.Bd3 c5 
1.Nf3 d5 2.d4 a6 3.Bg5 Bg4 4.e3 Nf6 
1.Nf3 d5 2.d4 c5 3.dxc5 e6 4.Bg5 Nf6 
1.Nf3 d5 2.d4 c6 3.c4 Nf6 4.Nc3 a6 
1.Nf3 d5 2.d4 c6 3.c4 Nf6 4.Nc3 dxc4 
1.Nf3 d5 2.d4 c6 3.c4 Nf6 4.Nc3 e6 
1.Nf3 d5 2.d4 c6 3.c4 Nf6 4.e3 Bf5 
1.Nf3 d5 2.d4 c6 3.c4 Nf6 4.e3 e6 
1.Nf3 d5 2.d4 c6 3.c4 dxc4 4.e3 b5 
1.Nf3 d5 2.d4 c6 3.c4 e6 4.Qc2 Nf6 
1.Nf3 d5 2.d4 c6 3.g3 Bg4 4.Bg2 Nd7 
1.Nf3 d5 2.d4 e6 3.c4 Bb4 4.Bd2 Bxd2 
1.Nf3 d5 2.d4 e6 3.c4 Nf6 4.Nc3 Be7 
1.Nf3 d5 2.d4 e6 3.c4 Nf6 4.Nc3 Nbd7 
1.Nf3 d5 2.d4 e6 3.c4 c5 4.cxd5 exd5 
1.Nf3 d5 2.d4 e6 3.c4 c6 4.e3 f5 
1.Nf3 d5 2.d4 e6 3.c4 dxc4 4.Qa4 Nc6 
1.Nf3 d5 2.d4 e6 3.c4 dxc4 4.Qa4 Nd7 
1.Nf3 d5 2.d4 e6 3.c4 dxc4 4.e3 Nf6 
1.Nf3 d5 2.d4 e6 3.c4 dxc4 4.e3 c5 
1.Nf3 d5 2.d4 e6 3.g3 Nf6 4.Bg2 Be7 
1.Nf3 d5 2.e3 Nf6 3.c4 e6 4.Nc3 Be7 
1.Nf3 d5 2.e3 Nf6 3.c4 e6 4.b3 Bd6 
1.Nf3 d5 2.e3 Nf6 3.c4 e6 4.b3 c5 
1.Nf3 d5 2.e3 Nf6 3.d4 c5 4.Nbd2 Nc6 
1.Nf3 d5 2.e3 Nf6 3.d4 c5 4.Nbd2 e6 
1.Nf3 d5 2.e3 c5 3.Bb5 Bd7 4.Bxd7 Qxd7 
1.Nf3 d5 2.e3 c5 3.b3 Nc6 4.Bb5 Bd7 
1.Nf3 d5 2.g3 Bg4 3.Bg2 Nd7 4.O-O Ngf6 
1.Nf3 d5 2.g3 Bg4 3.Bg2 Nd7 4.O-O c6 
1.Nf3 d5 2.g3 Bg4 3.Bg2 Nd7 4.O-O e6 
1.Nf3 d5 2.g3 Bg4 3.Bg2 Nd7 4.c4 e6 
1.Nf3 d5 2.g3 Bg4 3.Bg2 Nd7 4.d4 e6 
1.Nf3 d5 2.g3 Bg4 3.Bg2 e6 4.O-O Nf6 
1.Nf3 d5 2.g3 Bg4 3.Bg2 e6 4.c4 c6 
1.Nf3 d5 2.g3 Nc6 3.d4 Bf5 4.Bg2 Nb4 
1.Nf3 d5 2.g3 Nc6 3.d4 Bg4 4.Nbd2 Qd7 
1.Nf3 d5 2.g3 Nf6 3.Bg2 Bf5 4.O-O c6 
1.Nf3 d5 2.g3 Nf6 3.Bg2 Bf5 4.d3 e6 
1.Nf3 d5 2.g3 Nf6 3.Bg2 c5 4.O-O Nc6 
1.Nf3 d5 2.g3 Nf6 3.Bg2 c5 4.O-O e6 
1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4 
1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.c4 dxc4 
1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.d3 Bf5 
1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.d3 Bg4 
1.Nf3 d5 2.g3 Nf6 3.Bg2 e6 4.O-O Be7 
1.Nf3 d5 2.g3 Nf6 3.Bg2 g6 4.c4 c6 
1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.O-O Nf6 
1.Nf3 d5 2.g3 c5 3.Bg2 Nf6 4.O-O g6 
1.Nf3 d5 2.g3 c6 3.Bg2 Bf5 4.d3 Nf6 
1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.Ne5 Bh5 
1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 
1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nf6 
1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O e6 
1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.d3 Nd7 
1.Nf3 d5 2.g3 c6 3.b3 Bg4 4.Bg2 Nd7 
1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.O-O e5 
1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.c4 dxc4 
1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.d4 Nf6 
1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.d4 Nh6 
1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.d4 c6 
1.Nf3 d5 2.g3 g6 3.c4 c6 4.Qa4 Nd7 
1.Nf3 d5 2.g3 g6 3.c4 c6 4.Qa4 d4 
1.Nf3 d5 2.g3 g6 3.c4 d4 4.b4 Bg7 
1.Nf3 d5 2.g3 g6 3.c4 dxc4 4.Qa4 Nc6 
1.Nf3 d6 2.d4 Bg4 3.c4 Nd7 4.e4 e5 
1.Nf3 d6 2.d4 Bg4 3.c4 e5 4.dxe5 Bxf3 
1.Nf3 d6 2.d4 Nf6 3.c4 g6 4.Nc3 Bf5 
1.Nf3 d6 2.d4 Nf6 3.g3 Nbd7 4.Bg2 e5 
1.Nf3 d6 2.d4 g6 3.e4 Bg7 4.Bc4 e6 
1.Nf3 d6 2.d4 g6 3.e4 Nf6 4.Nc3 Bg7 
1.Nf3 d6 2.e4 Nf6 3.Nc3 g6 4.d4 Bg7 
1.Nf3 d6 2.g3 e5 3.d3 f5 4.Bg2 Nf6 
1.Nf3 d6 2.g3 g6 3.Bg2 Bg7 4.O-O Nf6 
1.Nf3 e6 2.c4 b6 3.g3 Bb7 4.Bg2 Nf6 
1.Nf3 e6 2.c4 d5 3.d4 Nf6 4.Nc3 c6 
1.Nf3 e6 2.c4 d5 3.d4 c5 4.e3 Nf6 
1.Nf3 e6 2.c4 f5 3.g3 Nf6 4.Bg2 Be7 
1.Nf3 e6 2.g3 b5 3.e3 a6 4.Bg2 Bb7 
1.Nf3 e6 2.g3 b5 3.e4 Bb7 4.Qe2 c5 
1.Nf3 e6 2.g3 b6 3.Bg2 Bb7 4.O-O Nf6 
1.Nf3 e6 2.g3 f5 3.Bg2 Nf6 4.O-O d5 
1.Nf3 f5 2.c4 Nf6 3.g3 g6 4.Bg2 Bg7 
1.Nf3 f5 2.d4 Nf6 3.c4 g6 4.g3 Bg7 
1.Nf3 f5 2.d4 Nf6 3.g3 g6 4.Bg2 Bg7 
1.Nf3 f5 2.g3 Nf6 3.Bg2 d6 4.d4 g6 
1.Nf3 f5 2.g3 Nf6 3.Bg2 e6 4.O-O Be7 
1.Nf3 f5 2.g3 Nf6 3.Bg2 g6 4.O-O Bg7 
1.Nf3 f5 2.g3 Nf6 3.Bg2 g6 4.b4 Bg7 
1.Nf3 g6 2.d4 Bg7 3.c4 Nf6 4.Nc3 O-O 
1.Nf3 g6 2.d4 Bg7 3.c4 Nf6 4.Nc3 d5 
1.Nf3 g6 2.d4 Bg7 3.c4 d6 4.Nc3 Bg4 
1.Nf3 g6 2.d4 Bg7 3.c4 d6 4.Nc3 Nf6 
1.Nf3 g6 2.d4 Bg7 3.e4 d6 4.Be2 Nf6 
1.Nf3 g6 2.d4 Nf6 3.c4 Bg7 4.Nc3 d5 
1.Nf3 g6 2.d4 d6 3.c4 Bg7 4.Nc3 e5 
1.Nf3 g6 2.e4 Bg7 3.d4 d6 4.Bc4 Nf6 
1.Nf3 g6 2.e4 Bg7 3.d4 d6 4.Bc4 a6 
1.Nf3 g6 2.e4 Bg7 3.d4 d6 4.Bc4 e6 
1.Nf3 g6 2.e4 Nf6 3.e5 Nh5 4.d4 d6 
1.Nf3 g6 2.e4 c5 3.c3 Bg7 4.d4 cxd4 
1.Nf3 g6 2.e4 c5 3.d4 cxd4 4.Nxd4 Nf6 
1.Nf3 g6 2.e4 d6 3.d4 Nf6 4.Bd3 Bg7 
1.Nf3 g6 2.e4 d6 3.d4 Nf6 4.Nc3 Bg7 
1.Nf3 g6 2.g3 Bg7 3.Bg2 c5 4.O-O Nc6 
1.Nf3 g6 2.g3 Bg7 3.Bg2 f5 4.d4 Nf6 
1.b3 d5 2.Bb2 Nf6 3.Nf3 Bg4 4.g3 Nbd7 
1.b3 d5 2.Bb2 Nf6 3.Nf3 e6 4.e3 Be7 
1.b3 d5 2.Bb2 Nf6 3.e3 c5 4.f4 g6 
1.b3 d5 2.Bb2 Nf6 3.e3 g6 4.c4 dxc4 
1.b3 e5 2.Bb2 Nc6 3.e3 d6 4.Nf3 g6 
1.b3 e5 2.Bb2 Nc6 3.e3 g6 4.c4 Bg7 
1.b3 e5 2.Bb2 d6 3.g3 Nf6 4.Bg2 Be7 
1.b3 g6 2.Bb2 Nf6 3.e4 Bg7 4.g3 O-O 
1.b3 g6 2.Bb2 Nf6 3.g3 Bg7 4.Bg2 O-O 
1.c4 Nf6 2.Nc3 c5 3.Nf3 Nc6 4.e3 e6 
1.c4 Nf6 2.Nc3 c5 3.Nf3 e6 4.e3 Nc6 
1.c4 Nf6 2.Nc3 c5 3.Nf3 g6 4.e4 Bg7 
1.c4 Nf6 2.Nc3 c5 3.g3 Nc6 4.Bg2 d6 
1.c4 Nf6 2.Nc3 c5 3.g3 Nc6 4.Bg2 g6 
1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.g3 Nxc3 
1.c4 Nf6 2.Nc3 d6 3.d4 e5 4.Nf3 Nc6 
1.c4 Nf6 2.Nc3 e5 3.Nf3 Nc6 4.a3 d5 
1.c4 Nf6 2.Nc3 e5 3.Nf3 Nc6 4.d3 d5 
1.c4 Nf6 2.Nc3 e5 3.Nf3 Nc6 4.d3 g6 
1.c4 Nf6 2.Nc3 e5 3.Nf3 Nc6 4.e4 Bc5 
1.c4 Nf6 2.Nc3 e5 3.Nf3 Nc6 4.g3 Bb4 
