1.Nc3 d5 2.e4 c6 3.d3 g6 4.Qe2 Bg7 
1.c4 c6 2.d4 d5 3.Nc3 Nf6 4.Nf3 e6 
1.c4 c6 2.d4 d5 3.Nc3 Nf6 4.cxd5 cxd5 
1.c4 c6 2.d4 d5 3.Nf3 Nf6 4.Nc3 e6 
1.c4 c6 2.d4 d5 3.Nf3 Nf6 4.cxd5 cxd5 
1.c4 c6 2.d4 d5 3.Nf3 Nf6 4.e3 e6 
1.c4 c6 2.d4 d5 3.cxd5 cxd5 4.Nf3 Nc6 
1.c4 c6 2.e4 d5 3.exd5 cxd5 4.d4 Nf6 
1.c4 d6 2.d4 e5 3.Nf3 Nd7 4.Nc3 Ngf6 
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d3 d5 
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3 Bb4 
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3 d5 
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3 d6 
1.c4 e5 2.Nc3 Nc6 3.g3 d6 4.Bg2 g6 
1.c4 e5 2.Nc3 Nc6 3.g3 f5 4.Bg2 Nf6 
1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.d3 Bb4 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.d3 d5 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.d4 e4 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.e3 Bb4 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.e3 Be7 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.e3 d6 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.g3 Bb4 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.g3 d5 
1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.g3 g6 
1.c4 e5 2.Nc3 Nf6 3.Nf3 d6 4.d4 Nbd7 
1.c4 e5 2.Nc3 Nf6 3.g3 Nc6 4.Bg2 d6 
1.c4 e5 2.Nc3 Nf6 3.g3 d5 4.cxd5 Nxd5 
1.c4 e5 2.Nc3 Nf6 3.g3 d6 4.Bg2 g6 
1.c4 e5 2.Nc3 d6 3.Nf3 Bg4 4.e3 Nf6 
1.c4 e5 2.Nc3 d6 3.Nf3 g6 4.d4 Nd7 
1.c4 e5 2.Nc3 d6 3.d4 g6 4.Nf3 Nd7 
1.c4 e5 2.Nc3 d6 3.g3 Nc6 4.Bg2 g6 
1.c4 e5 2.Nc3 d6 3.g3 g6 4.Bg2 Bg7 
1.c4 e5 2.b3 Nf6 3.Bb2 Nc6 4.e3 Be7 
1.c4 e5 2.g3 Nc6 3.Bg2 g6 4.Nc3 Bg7 
1.c4 e5 2.g3 c6 3.b3 d5 4.Bb2 d4 
1.c4 e6 2.Nc3 Bb4 3.Nf3 Nf6 4.Qc2 d6 
1.c4 e6 2.Nc3 Nf6 3.Nf3 d5 4.d4 Be7 
1.c4 e6 2.Nc3 Nf6 3.d4 Bb4 4.e3 c5 
1.c4 e6 2.Nc3 c5 3.Nf3 Nc6 4.g3 Nf6 
1.c4 e6 2.Nc3 d5 3.d4 Be7 4.Bf4 Nf6 
1.c4 e6 2.Nc3 d5 3.d4 Be7 4.Nf3 Nf6 
1.c4 e6 2.Nc3 d5 3.d4 Be7 4.cxd5 exd5 
1.c4 e6 2.Nc3 d5 3.d4 Nf6 4.Nf3 Be7 
1.c4 e6 2.Nc3 d5 3.d4 Nf6 4.Nf3 Nbd7 
1.c4 e6 2.Nc3 d5 3.d4 Nf6 4.cxd5 exd5 
1.c4 e6 2.Nf3 Nf6 3.Nc3 Bb4 4.Qc2 c5 
