1.Nf3 Nf6 2.b3 d5 3.Bb2 Bf5 4.g3 e6 
1.d4 Nf6 2.Nf3 e6 3.e3 c5 4.b3 Nc6 
1.d4 Nf6 2.Nf3 e6 3.e3 c5 4.c3 d5 
1.d4 Nf6 2.Nf3 e6 3.g3 c5 4.c4 cxd4 
1.d4 Nf6 2.Nf3 g6 3.Nc3 d5 4.Bf4 Bg7 
1.d4 Nf6 2.Nf3 g6 3.e3 Bg7 4.Nbd2 b6 
1.d4 Nf6 2.Nf3 g6 3.h3 Bg7 4.Bf4 O-O 
1.d4 Nf6 2.c4 c5 3.d5 g6 4.Nc3 Bg7 
1.d4 Nf6 2.c4 c6 3.Nc3 d5 4.Nf3 dxc4 
1.d4 Nf6 2.c4 c6 3.Nc3 d5 4.cxd5 cxd5 
1.d4 Nf6 2.c4 c6 3.Nf3 d5 4.Nc3 dxc4 
1.d4 Nf6 2.c4 d6 3.Nc3 Bf5 4.g3 c6 
1.d4 Nf6 2.c4 d6 3.Nc3 Nbd7 4.Bg5 e5 
1.d4 Nf6 2.c4 d6 3.Nc3 Nbd7 4.Nf3 e5 
1.d4 Nf6 2.c4 d6 3.Nc3 Nbd7 4.e4 e5 
1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3 Bc5 
1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 d6 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 b6 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 Bxc3 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 Nc6 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 c5 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qb3 d5 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 Nc6 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 O-O 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 c5 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 d5 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.a3 Bxc3 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 O-O 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 b6 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 d5 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Bg5 Be7 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Bg5 Nbd7 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Nf3 Nbd7 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Nf3 c6 
1.d4 Nf6 2.c4 e6 3.Nf3 Bb4 4.Bd2 Qe7 
1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Bg5 Bb7 
1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3 Bb7 
1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 
1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Bg5 Be7 
1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Bg5 Nbd7 
1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Bg5 c6 
1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Bg5 h6 
1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 Be7 
1.d4 Nf6 2.c4 e6 3.g3 Bb4 4.Bd2 Qe7 
1.d4 Nf6 2.c4 g6 3.Nc3 Bg7 4.e4 d6 
1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Bf4 Bg7 
1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.Nf3 Bg7 
1.d4 Nf6 2.c4 g6 3.Nc3 d5 4.cxd5 Nxd5 
1.d4 Nf6 2.c4 g6 3.g3 Bg7 4.Bg2 O-O 
1.d4 d5 2.Nf3 Nf6 3.Bf4 c5 4.c3 Qb6 
1.d4 d5 2.Nf3 Nf6 3.Bg5 e6 4.e3 c5 
1.d4 d5 2.Nf3 Nf6 3.c4 c5 4.cxd5 cxd4 
1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.Nc3 e6 
1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.cxd5 cxd5 
1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.e3 Bf5 
1.d4 d5 2.Nf3 Nf6 3.c4 c6 4.e3 e6 
1.d4 d5 2.Nf3 Nf6 3.c4 dxc4 4.Qa4 Nbd7 
1.d4 d5 2.Nf3 Nf6 3.c4 dxc4 4.e3 a6 
1.d4 d5 2.Nf3 Nf6 3.c4 e6 4.Bg5 Be7 
1.d4 d5 2.Nf3 Nf6 3.c4 e6 4.Bg5 Nbd7 
1.d4 d5 2.Nf3 Nf6 3.c4 e6 4.Nc3 Be7 
1.d4 d5 2.Nf3 Nf6 3.c4 e6 4.Nc3 Nbd7 
1.d4 d5 2.Nf3 Nf6 3.c4 e6 4.Nc3 dxc4 
1.d4 d5 2.Nf3 Nf6 3.e3 Bf5 4.c4 c6 
1.d4 d5 2.Nf3 Nf6 3.e3 Nbd7 4.Bd3 e6 
1.d4 d5 2.Nf3 Nf6 3.e3 c6 4.c4 e6 
1.d4 d5 2.Nf3 Nf6 3.e3 e6 4.c4 Be7 
1.d4 d5 2.Nf3 c5 3.c3 Nf6 4.e3 Nc6 
1.d4 d5 2.Nf3 c5 3.c3 cxd4 4.cxd4 Nc6 
1.d4 d5 2.Nf3 c5 3.c4 e6 4.cxd5 exd5 
1.d4 d5 2.Nf3 c5 3.dxc5 e6 4.e4 Bxc5 
1.d4 d5 2.Nf3 c5 3.e3 Nc6 4.b3 e6 
1.d4 d5 2.Nf3 e6 3.c4 Nd7 4.Nc3 Ngf6 
1.d4 d5 2.Nf3 e6 3.c4 Nd7 4.cxd5 exd5 
1.d4 d5 2.Nf3 e6 3.c4 Nf6 4.Bg5 Be7 
1.d4 d5 2.Nf3 e6 3.c4 Nf6 4.Bg5 Nbd7 
1.d4 d5 2.Nf3 e6 3.c4 Nf6 4.Nc3 Bb4 
1.d4 d5 2.Nf3 e6 3.c4 Nf6 4.Nc3 Nbd7 
1.d4 d5 2.Nf3 e6 3.c4 c5 4.cxd5 exd5 
1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 Bf5 
1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 dxc4 
1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 Bf5 
1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.e3 e6 
1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.Nc3 dxc4 
1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 e6 
1.d4 d5 2.c4 c6 3.Nf3 Nf6 4.e3 g6 
1.d4 d5 2.c4 c6 3.Nf3 e6 4.Bg5 Be7 
1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nc3 Nc6 
1.d4 d5 2.c4 c6 3.e3 Nf6 4.Nc3 e6 
1.d4 d5 2.c4 c6 3.e3 Nf6 4.Nf3 e6 
1.d4 d5 2.c4 dxc4 3.Nc3 a6 4.a4 e5 
1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 
1.d4 d5 2.c4 dxc4 3.e4 c5 4.Nf3 cxd4 
1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 
1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 
1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Nbd7 
1.d4 d5 2.c4 e6 3.Nc3 a6 4.cxd5 exd5 
1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 
1.d4 d5 2.c4 e6 3.Nc3 c5 4.e3 Nf6 
1.d4 d5 2.c4 e6 3.Nc3 dxc4 4.e3 Nf6 
1.d4 d5 2.c4 e6 3.Nc3 dxc4 4.e3 a6 
1.d4 d5 2.c4 e6 3.Nf3 Nd7 4.Nc3 Ngf6 
1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 Be7 
1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 Nbd7 
1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 c6 
1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Nc3 Be7 
1.d4 d5 2.c4 e6 3.Nf3 c5 4.cxd5 exd5 
1.d4 d5 2.c4 e6 3.Nf3 dxc4 4.e4 c5 
1.d4 d5 2.e3 Nf6 3.Bd3 c5 4.b3 Nc6 
1.d4 d5 2.e3 Nf6 3.Bd3 c5 4.c3 Nc6 
1.d4 d5 2.e3 Nf6 3.Bd3 c5 4.c3 Qc7 
1.d4 d5 2.e3 Nf6 3.Bd3 e6 4.Nd2 c5 
1.d4 d5 2.e3 Nf6 3.Nf3 c5 4.c4 e6 
1.d4 d5 2.e3 c5 3.Bd3 c4 4.Be2 Nc6 
1.d4 e6 2.Nc3 d5 3.e4 Nf6 4.Bg5 dxe4 
1.d4 e6 2.Nf3 Nf6 3.c4 d5 4.Bg5 h6 
1.d4 e6 2.Nf3 Nf6 3.e3 c5 4.Nbd2 d5 
1.d4 e6 2.Nf3 c5 3.c4 cxd4 4.Nxd4 Nf6 
1.d4 e6 2.Nf3 f5 3.c4 Nf6 4.Bg5 Be7 
1.d4 e6 2.Nf3 f5 3.g3 Nf6 4.Bg2 Be7 
1.d4 e6 2.c4 Bb4 3.Nc3 c5 4.e3 Nf6 
1.d4 e6 2.c4 f5 3.g3 Nf6 4.Bg2 Be7 
1.d4 e6 2.e4 d5 3.Nc3 Bb4 4.Ne2 dxe4 
1.d4 e6 2.e4 d5 3.Nc3 Nf6 4.Bg5 Bb4 
1.d4 e6 2.e4 d5 3.Nc3 Nf6 4.Bg5 Be7 
1.d4 e6 2.e4 d5 3.Nc3 Nf6 4.Bg5 h6 
1.d4 e6 2.e4 d5 3.exd5 exd5 4.Bd3 Bd6 
1.d4 e6 2.e4 d5 3.exd5 exd5 4.Nf3 Bg4 
1.d4 f5 2.c4 e6 3.Nc3 Nf6 4.Bf4 Bb4 
1.d4 f5 2.e3 Nf6 3.Nf3 b6 4.b3 Bb7 
1.d4 f5 2.e3 Nf6 3.Nf3 e6 4.Bd3 b6 
1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 c6 
1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 e6 
1.e3 Nf6 2.f4 g6 3.c4 d5 4.Nc3 Bg7 
1.e3 g6 2.d4 Bg7 3.Bd3 c5 4.c3 Nf6 
1.e3 g6 2.d4 Bg7 3.Nf3 d5 4.c4 e6 
1.e4 Nf6 2.e5 Nd5 3.Nc3 Nxc3 4.dxc3 d5 
1.e4 Nf6 2.e5 Nd5 3.Nf3 d6 4.Bc4 e6 
1.e4 c5 2.Nc3 Nc6 3.g3 Nf6 4.Bg2 d6 
1.e4 c5 2.Nc3 Nc6 3.g3 d6 4.Bg2 e5 
1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 
1.e4 c5 2.Ne2 d6 3.d4 cxd4 4.Nxd4 Nf6 
1.e4 c5 2.Ne2 d6 3.d4 cxd4 4.Nxd4 g6 
1.e4 c5 2.Ne2 d6 3.g3 Nc6 4.Bg2 g6 
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 
1.e4 c5 2.Nf3 e6 3.Nc3 d5 4.exd5 exd5 
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 
1.e4 c5 2.Nf3 g6 3.c3 d5 4.Bb5 Bd7 
1.e4 c5 2.b4 cxb4 3.a3 bxa3 4.Bxa3 d6 
1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 
1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 
1.e4 c6 2.d4 d5 3.e5 Bf5 4.Bd3 Bxd3 
1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 
1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nf6 
1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nc6 
1.e4 d5 2.exd5 Nf6 3.d4 Nxd5 4.Nf3 Bg4 
1.e4 e5 2.Bc4 Bc5 3.Nf3 Nc6 4.Nc3 Nf6 
1.e4 e5 2.Nc3 Bc5 3.Bc4 d6 4.d3 Nf6 
1.e4 e5 2.Nc3 Bc5 3.Nf3 d6 4.Na4 Bb6 
1.e4 e5 2.Nc3 Nc6 3.Bc4 Bc5 4.Qh5 g6 
1.e4 e5 2.Nc3 Nc6 3.Bc4 Nf6 4.d3 Bb4 
1.e4 e5 2.Nc3 Nc6 3.Bc4 Nf6 4.d3 Bc5 
1.e4 e5 2.Nc3 Nc6 3.Bc4 Nf6 4.d3 Na5 
1.e4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.Bb5 Bb4 
1.e4 e5 2.Nc3 Nc6 3.f4 exf4 4.Nf3 g5 
1.e4 e5 2.Nc3 g6 3.Bc4 Bg7 4.d3 c6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5 4.c3 Qf6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nd4 4.Nxd4 exd4 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Be7 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O Nxe4 
1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.O-O d6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Bxc6 dxc6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.Nc3 Bd7 
1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.Nc3 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.O-O a6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.c3 Bg4 
1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.c3 a6 
1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.d4 Bd7 
1.e4 e5 2.Nf3 Nc6 3.Bb5 d6 4.d4 exd4 
1.e4 e5 2.Nf3 Nc6 3.Bb5 f5 4.Nc3 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.Nc3 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bb6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.b4 Bxb4 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.c3 Nf6 
1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3 d5 
1.e4 e5 2.Nf3 Nc6 3.Bc4 d6 4.Nc3 Na5 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Bc5 4.Nxe5 Bxf2 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Bb4 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 a6 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 d6 
1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bc4 Bc5 
1.e4 e5 2.Nf3 Nc6 3.Nc3 g6 4.Bb5 Bg7 
1.e4 e5 2.Nf3 Nc6 3.Nc3 g6 4.d4 exd4 
1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6 
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 Be7 
1.e4 e5 2.d4 exd4 3.c3 d5 4.exd5 Qxd5 
1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3 Bb4 
1.e4 e5 2.f4 exf4 3.Be2 d5 4.exd5 Nf6 
1.e4 e6 2.d3 d5 3.Nd2 Nf6 4.Ngf3 Be7 
1.e4 e6 2.d3 d5 3.Nd2 c5 4.Ngf3 Nc6 
1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.Ne2 dxe4 
1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.e5 c5 
1.e4 e6 2.d4 d5 3.Nc3 Bb4 4.exd5 exd5 
1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bd3 dxe4 
1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Bb4 
1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 Be7 
1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.Bg5 dxe4 
1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.exd5 exd5 
1.e4 e6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 
1.e4 e6 2.d4 d5 3.Nd2 Nf6 4.e5 Nfd7 
1.e4 e6 2.d4 d5 3.Nd2 c5 4.exd5 exd5 
1.e4 e6 2.d4 d5 3.exd5 exd5 4.Bd3 Bd6 
1.e4 e6 2.d4 d5 3.exd5 exd5 4.Bd3 Nf6 
1.e4 e6 2.d4 d5 3.exd5 exd5 4.Nf3 Bd6 
1.e4 g6 2.Nf3 Bg7 3.Bc4 c5 4.O-O Nc6 
1.f4 d5 2.Nf3 c5 3.e3 g6 4.Bb5 Bd7 
1.f4 d5 2.e3 g6 3.c4 Nf6 4.Nc3 Bg7 
